[0065/5000] n=1, T=0.0649 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0066/5000] n=1, T=0.0659 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0067/5000] n=1, T=0.0669 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0068/5000] n=1, T=0.0679 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0069/5000] n=1, T=0.0689 -> Recall=100.00%, FAR=100.0000%, TP=565, FP=3126
[0070/5000] n=1, T=0.0699 -> Recall=100.00%, FAR=99.9360%, TP=565, FP=3124
[0071/5000] n=1, T=0.0709 -> Recall=100.00%, FAR=99.9360%, TP=565, FP=3124
[0072/5000] n=1, T=0.0719 -> Recall=99.82%, FAR=99.9040%, TP=564, FP=3123
[0073/5000] n=1, T=0.0729 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0074/5000] n=1, T=0.0739 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0075/5000] n=1, T=0.0749 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0076/5000] n=1, T=0.0759 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0077/5000] n=1, T=0.0769 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0078/5000] n=1, T=0.0779 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0079/5000] n=1, T=0.0789 -> Recall=99.65%, FAR=99.8720%, TP=563, FP=3122
[0080/5000] n=1, T=0.0799 -> Recall=99.65%, FAR=99.8401%, TP=563, FP=3121
[0081/5000] n=1, T=0.0809 -> Recall=99.47%, FAR=99.8081%, TP=562, FP=3120
[0082/5000] n=1, T=0.0819 -> Recall=99.47%, FAR=99.7761%, TP=562, FP=3119
[0083/5000] n=1, T=0.0829 -> Recall=99.47%, FAR=99.7761%, TP=562, FP=3119
[0084/5000] n=1, T=0.0839 -> Recall=99.47%, FAR=99.7121%, TP=562, FP=3117
[0085/5000] n=1, T=0.0849 -> Recall=99.47%, FAR=99.6481%, TP=562, FP=3115
[0086/5000] n=1, T=0.0859 -> Recall=99.47%, FAR=99.6161%, TP=562, FP=3114
[0087/5000] n=1, T=0.0869 -> Recall=99.47%, FAR=99.4562%, TP=562, FP=3109
[0088/5000] n=1, T=0.0879 -> Recall=99.47%, FAR=99.2642%, TP=562, FP=3103
[0089/5000] n=1, T=0.0889 -> Recall=99.47%, FAR=99.1683%, TP=562, FP=3100
[0090/5000] n=1, T=0.0899 -> Recall=99.47%, FAR=99.1043%, TP=562, FP=3098
[0091/5000] n=1, T=0.0909 -> Recall=99.47%, FAR=99.0083%, TP=562, FP=3095
[0092/5000] n=1, T=0.0919 -> Recall=99.47%, FAR=98.9443%, TP=562, FP=3093
[0093/5000] n=1, T=0.0929 -> Recall=99.47%, FAR=98.7844%, TP=562, FP=3088
[0094/5000] n=1, T=0.0939 -> Recall=99.47%, FAR=98.7524%, TP=562, FP=3087
[0095/5000] n=1, T=0.0949 -> Recall=99.29%, FAR=98.6564%, TP=561, FP=3084
[0096/5000] n=1, T=0.0959 -> Recall=99.29%, FAR=98.5605%, TP=561, FP=3081
[0097/5000] n=1, T=0.0969 -> Recall=99.29%, FAR=98.0166%, TP=561, FP=3064
[0098/5000] n=1, T=0.0979 -> Recall=99.12%, FAR=97.6647%, TP=560, FP=3053
[0099/5000] n=1, T=0.0989 -> Recall=99.12%, FAR=97.5688%, TP=560, FP=3050
[0100/5000] n=1, T=0.0999 -> Recall=99.12%, FAR=97.3768%, TP=560, FP=3044
[0101/5000] n=1, T=0.1009 -> Recall=98.94%, FAR=97.2169%, TP=559, FP=3039
[0102/5000] n=1, T=0.1019 -> Recall=98.94%, FAR=97.0569%, TP=559, FP=3034
[0103/5000] n=1, T=0.1029 -> Recall=98.94%, FAR=96.8010%, TP=559, FP=3026
[0104/5000] n=1, T=0.1039 -> Recall=98.94%, FAR=96.6411%, TP=559, FP=3021
[0105/5000] n=1, T=0.1049 -> Recall=98.76%, FAR=96.4171%, TP=558, FP=3014
[0106/5000] n=1, T=0.1059 -> Recall=98.76%, FAR=96.2252%, TP=558, FP=3008
[0107/5000] n=1, T=0.1069 -> Recall=98.76%, FAR=96.0333%, TP=558, FP=3002
[0108/5000] n=1, T=0.1079 -> Recall=98.76%, FAR=95.8413%, TP=558, FP=2996
[0109/5000] n=1, T=0.1089 -> Recall=98.76%, FAR=95.7134%, TP=558, FP=2992
[0110/5000] n=1, T=0.1099 -> Recall=98.76%, FAR=95.5534%, TP=558, FP=2987
[0111/5000] n=1, T=0.1109 -> Recall=98.76%, FAR=94.3378%, TP=558, FP=2949
[0112/5000] n=1, T=0.1119 -> Recall=98.58%, FAR=94.0179%, TP=557, FP=2939
[0113/5000] n=1, T=0.1129 -> Recall=98.23%, FAR=93.5061%, TP=555, FP=2923
[0114/5000] n=1, T=0.1139 -> Recall=97.52%, FAR=92.1945%, TP=551, FP=2882
[0115/5000] n=1, T=0.1149 -> Recall=97.52%, FAR=91.9386%, TP=551, FP=2874
[0116/5000] n=1, T=0.1159 -> Recall=97.52%, FAR=91.6507%, TP=551, FP=2865
